titular,empresa,variedade,tipo_ciclo,inicio_ret,NºRNC,grupo__qualidade,ano_class_qualidade
GDM,,JURAMENTO,C,2023,21953,GRUPO DE CALIDAD 2,2023
GDM,,NEO50T23,I,2023,21946,GRUPO DE CALIDAD 2,2023
GDM,,NEO30T23,C,2023,21945,GRUPO DE CALIDAD 2,2023
GDM,,IS CANARIO,C,2023,,GRUPO DE CALIDAD 2,2023
SAS FLORIMOND DESPREZ V. ET F.,,ARCE,C,2023,21523,GRUPO DE CALIDAD 2,2023
INTA,LDC,MSINTA 623 CL,I,2023,,GRUPO DE CALIDAD 2,2023
SAS FLORIMOND DESPREZ V. ET F.,ACA,CEDRO,L,2013,14470,GRUPO DE CALIDAD 3,2023
ACA,ACA,ACA 604,I,2020,19477,GRUPO DE CALIDAD 3,2023
ACA,ACA,ACA 308,L,2021,20496,GRUPO DE CALIDAD 3,2023
ACA,ACA,ACA 605,I,2022,21457,GRUPO DE CALIDAD 3,2023
ACA,GYT,914,C,2018,17985,GRUPO DE CALIDAD 3,2023
ACA,ACA,ACA 318,C,2023,22417,GRUPO DE CALIDAD 3,2023
AGRISEEDS,AGRISEEDS,FLORIPAN 300,L,2012,13027,GRUPO DE CALIDAD 3,2023
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK PEREGRINO,L,2020,19466,GRUPO DE CALIDAD 3,2023
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK PACIFICO,L,2021,20679,GRUPO DE CALIDAD 3,2023
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK PRETAL,C,2022,21627,GRUPO DE CALIDAD 3,2023
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEIN LIEBRE,I,2013,13778,GRUPO DE CALIDAD 3,2023
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEIN FAVORITO 2,L,2020,19535,GRUPO DE CALIDAD 3,2023
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEIN BALLESTA,C,2023,22406,GRUPO DE CALIDAD 3,2023
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEIN EXTREMO,C,2023,22466,GRUPO DE CALIDAD 3,2023
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEIN LEYENDA,C,2023,22465,GRUPO DE CALIDAD 3,2023
INTA,BIOCERES,BIOCERES 1008,C,2016,16330,GRUPO DE CALIDAD 3,2023
INTA,LDC SEMILLAS,MS INTA MDA BONAERENSE 122,L,2022,21348,GRUPO DE CALIDAD 3,2023
INTA,LDC SEMILLAS,MS INTA BONAERENSE 817,C,2017,17255,GRUPO DE CALIDAD 3,2023
INTA,LDC SEMILLAS,MS INTA 415,I,2016,16328,GRUPO DE CALIDAD 3,2023
INTA,INTA,MS INTA MDA Boanerensa 324,C,2023,,GRUPO DE CALIDAD 3,2023
INTA ,LCD SEMILLAS,MS INTA119,L,2019,18706,GRUPO DE CALIDAD 3,2023
INTA ,LDC SEMILLAS,MS INTA 815,C,2015,15746,GRUPO DE CALIDAD 3,2023
LIMAGRAIN,LIMAGRAIN,ALHAMBRA,L,2013,14576,GRUPO DE CALIDAD 3,2023
